gauge_id,date,observed,caudal
7330001,2001-05-26,111.0,529.0
9127001,2001-05-26,83.0,61.3
4703002,2001-05-27,5.0,4.21
7330001,2001-05-27,922.0,503.0
9127001,2001-05-27,537.0,150.0
4703002,2001-05-28,9.0,4.21
7330001,2001-05-28,294.0,774.0
9127001,2001-05-28,349.0,133.0
4703002,2001-05-29,12.0,4.19
7330001,2001-05-29,855.0,470.0
9127001,2001-05-29,73.0,109.0
4703002,2001-05-30,6.0,4.18
7330001,2001-05-30,16.0,234.0
9127001,2001-05-30,5.0,85.6
4703002,2001-05-31,37.0,4.18
7330001,2001-05-31,0.0,141.0
9127001,2001-05-31,24.0,71.6
4703002,2001-06-01,43.0,3.99
7330001,2001-06-01,0.0,99.7
9127001,2001-06-01,1.0,57.8
4703002,2001-06-02,9.0,4.19
7330001,2001-06-02,0.0,79.9
9127001,2001-06-02,0.0,54.0
4703002,2001-06-03,36.0,4.11
7330001,2001-06-03,26.0,66.8
9127001,2001-06-03,71.0,45.0
4703002,2001-06-04,28.0,3.95
7330001,2001-06-04,0.0,58.3
9127001,2001-06-04,0.0,40.3
4703002,2001-06-05,28.0,4.11
7330001,2001-06-05,0.0,53.6
9127001,2001-06-05,166.0,45.5
4703002,2001-06-06,5.0,4.06
7330001,2001-06-06,47.0,56.2
9127001,2001-06-06,226.0,68.6
4703002,2001-06-07,1.0,3.97
7330001,2001-06-07,113.0,65.0
9127001,2001-06-07,314.0,227.0
4703002,2001-06-08,1.0,3.97
7330001,2001-06-08,24.0,62.0
9127001,2001-06-08,124.0,212.0
4703002,2001-06-09,2.0,3.85
7330001,2001-06-09,10.0,53.6
9127001,2001-06-09,13.0,115.0
4703002,2001-06-10,0.0,3.84
7330001,2001-06-10,9.0,48.5
9127001,2001-06-10,18.0,85.0
4703002,2001-06-11,4.0,3.94
7330001,2001-06-11,5.0,54.0
9127001,2001-06-11,9.0,71.8
4703002,2001-06-12,14.0,3.85
7330001,2001-06-12,30.0,70.4
9127001,2001-06-12,51.0,64.7
4703002,2001-06-13,20.0,3.89
7330001,2001-06-13,55.0,219.0
9127001,2001-06-13,213.0,66.7
4703002,2001-06-14,25.0,3.91
7330001,2001-06-14,411.0,514.0
9127001,2001-06-14,410.0,85.0
4703002,2001-06-15,1.0,3.74
7330001,2001-06-15,127.0,192.0
9127001,2001-06-15,53.0,93.0
4703002,2001-06-16,0.0,3.58
7330001,2001-06-16,2.0,113.0
9127001,2001-06-16,8.0,78.9
4703002,2001-06-17,0.0,3.5
7330001,2001-06-17,0.0,81.8
9127001,2001-06-17,0.0,67.8
4703002,2001-06-18,0.0,3.42
7330001,2001-06-18,0.0,64.4
9127001,2001-06-18,0.0,60.0
4703002,2001-06-19,0.0,3.47
7330001,2001-06-19,0.0,54.6
9127001,2001-06-19,0.0,53.9
4703002,2001-06-20,0.0,3.62
7330001,2001-06-20,0.0,48.1
9127001,2001-06-20,0.0,49.0
4703002,2001-06-21,0.0,3.75
7330001,2001-06-21,0.0,43.6
9127001,2001-06-21,1.0,45.3
4703002,2001-06-22,0.0,3.61
7330001,2001-06-22,0.0,39.7
9127001,2001-06-22,0.0,42.4
4703002,2001-06-23,5.0,3.72
7330001,2001-06-23,22.0,37.3
9127001,2001-06-23,81.0,44.4
4703002,2001-06-24,6.0,3.46
7330001,2001-06-24,56.0,34.9
9127001,2001-06-24,47.0,41.2
4703002,2001-06-25,0.0,3.57
7330001,2001-06-25,1.0,32.8
9127001,2001-06-25,0.0,38.0
4703002,2001-06-26,0.0,3.7
7330001,2001-06-26,2.0,31.0
9127001,2001-06-26,0.0,36.1
4703002,2001-06-27,1.0,3.6
7330001,2001-06-27,3.0,29.6
9127001,2001-06-27,1.0,34.5
4703002,2001-06-28,1.0,3.42
7330001,2001-06-28,0.0,28.1
9127001,2001-06-28,5.0,32.8
4703002,2001-06-29,0.0,3.48
7330001,2001-06-29,28.0,30.3
9127001,2001-06-29,53.0,33.5
4703002,2001-06-30,7.0,3.57
7330001,2001-06-30,51.0,31.3
9127001,2001-06-30,80.0,58.6
4703002,2001-07-01,0.0,3.52
7330001,2001-07-01,151.0,53.6
